Question,Answer
does it work on xbox one,does not work with XBOX because the seller shipped a different drive than the listing. Listing shows WDBU6Y0040BBK-WESN but I received WDBU6Y0040BBK-ES which is not a 3.0 drive. Nowhere on/in the packaging does it display the drive is USB 3.0 compliant.
"I am not computer saavy. can i just plug it in & expect it to work, or do i need to pay extra for the expert installation? are they trustworthy?","Yes, you can open it out of the box and plug it into your computer's USB. The cable you need to do this comes with it. You may want to read the instructions that come with it for formatting it before you start using it. Some formats are better for Macs and others better for PC but don't worry about it, the instructions see more"
Does it come with a usb cable?,Is a male to male usb connector required
do you need the batery for it to work ?,You do not need a battery. It gets power from the USB port.
Does it work with macos high sierra?,"You can also add NTFS support to your macOS system by purchasing a product such as Paragon Software Group's NTFS for Mac OS X. A very experienced friend recommended this to me, and it works fine using High Sierra. After installing, you can mount NTFS USB devices just by plugging them in. It also includes an NTFS disk u see more"
Will this work on a ps4?,"It didnt work the first time I plugged it in. It was showing as unsupported. Then I turned off my PS4, unplugged the HD and the. Plugged it back in and restarted the system. Then it took me through the steps to format it. After that I moved some games to it and was downloading new games in no time."
What needs to be done to format this device for mac? is it dificult?,"Hi, In my experience with WD Elements, the WD TB Elements ""are not difficult"" to install the External Drive in your Mac and Windows PC's. If there is a problem with the install, it's usually due to different formats of partitions and technologies. There is a simple solution is to change the Mac HD partition Formats see more"
Do i just leave it plugged into the usb port all the time or do i copy to it and remove it? need backup because my one drive is full.,"I have actually a couple (2TB + 4TB) of these discs, this brand and another one plugged all the time to the computer (desktop USB 3.0) since 2016. They both are still working as charm. Other two discs are plugged and unplugged. So, yeah, you can leave them plugged if you need."
"Is it supposed to make a clicking noise? My unit just came in, I plugged it in the computer and it started making a clicking noise",Had portable that began noise and clicking after it guit working send back and make sure to get 9$ data recovery insurance because price of recovery is 50$ evaluation then over 500$ to fix. So 9$ is nothing.
Probably a dumb question but can i use this to store music and pictures till i get a new laptop?,"First, there's no such thing as a dumb question. You can store music, videos, pictures, text files, etc., etc. You will still need a computer to copy those files to the portable hard drive."
Can you setup a secure password?,"You can download WD Security for Windows or Mac for pwd protection and hardware encryption, to protect from unauthorized use or access. The down side of it if you forget your password. you'll lode all your data. You can download security for Windows: https://support.wdc.com/downloads.aspx?p=172"
Can this drive be formatted for a Mac?,Yes
"Can i plug this in and back up a windows pc and then plug it into a mac, reformat it whatever that means, and back up the mac on the same drive?","Its certainly possible and doesnt require anything more than someone that can set it up. You'd need to set up separate partitions on the drive. Computers only know what theyre told, so partitioning a drive allows the computer to see more than one option for where to send files when you plug it in. Format one partiti see more"
can I have drop box save to it?,"You can, but you have to keep the drive connected at all times. Otherwise you would lose the configuration"
Is this hard drive compatible with android tablets?,Yes
Will it work automatically on my MacBook or will I need to install and change settings?,"Excellent day Dana I understand that you have doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with a Mac computer, you would like to know if the device will work automatically or if there is any procedure to follow, I will be glad to provide you the needed support."
does the cord come with a full size usb connection not micro?,"Yes, the cord that came with this unit is the large usb one, not the micro. Works great"
Delivery 2 day???,Nice
If I backup from an iPad can I upload back to a pc?,"Excellent day Robert I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive you would like to know if the device gets used to back up an I pad, can the information be transferred into a Personal Computer which I will assume has the Windows OS, I will be glad to provide you t see more"
Can it be used for a cell phone?,The connector is USB. I have it on my computer and my phone also. So I transfer everything from my phone to the portable that way. I have not try getting a cord that would fit from my Samsung to hard drive.
Does woek on ps4?,"Yes it does. I connected it on my ps4, and you have to go through some settings and set it up through the system, but it works great on my PS4."
Can this be removed easily from the case and used as an internal drive?,"Most external HDD's can be removed from the case and used as an internal HDD. Simply Google for videos on how to shuck the drive for your particular model and look for any references to issues with trying to shuck it and how to identify if yours is one of those that shouldn't be shucked. If it doesn't apply to you, t see more"
Can this be used on a ps4 and how?,"Yeah it can be, its very simple you just turn on your ps4 and then you connect the usb to your ps4 and then it says storage of how ever much storage you got or just go to your storage and just check if its their and thats it."
Work with xbox 1?,I dont have xBox
"If I format to exFAT, will I be able to easily open files on a PC or Mac interchangeably?","It shouldn't be an issue, but that's a file format question, and not one about the product."
What could be wrong with tge used ones,If it was ever dropped or moved suddenly when operating this would significantly affect its life and theres no way of knowing how it was handled
Will this work with a usb c to usb a adapter?,"yes, thats how I have mine"
"Won't backup Outlook email because ""another process has locked part of the file"". Any way around this?","Excellent day Nancy I understand that you have some issues with the back up of the outlook emails since you receive the message that another process has locked part of the file, I will be glad to provide you with the needed information."
Wil this work on a PlayStation 3?,"It should, as the one I purchased was purchased for my son to use with his PS4 & so far no complaints!"
Can i use it to play music on my phone?,"If you have OTG capability on your phone, as I have with Galaxy S8, Galaxy A70 and Note 10 Plus, you can use it to play music on your phone. I play music & movies with it on my phones."
Can i hook this up to my samsung galaxy note 9 with the usb to type c adapter that comes with the phone,I have used it with my Galaxy S8 Plus with no problems. But I purchased a USB B (to connect to the drive) to USB-C (to connect to my phone) cable because the cable that comes with the drive isn't great. But the USB B to USB-C cable works GREAT!
Does this work with xbox 1X,If it works for PS4 it definitely works for Xbox
Can I transfer data from mac to pc use this external drive?,All data should transfer. Some of the mac data may not be usable on the pc. jpegs and mp4s should be fine.
Does it work on ps4?!,I am not sure as I don't own one.
My drive works well but makes a ton of noise! is this normal or should I get another one?,"these drives are a bunch of junk, I have had two and they both went down on me. I suspect that if the drive is making noise that it will soon go bad, get your money back and buy another brand."
Is this hd suitable only for mac users? or any other pc? thanks,It will work with any pc.
Win-10. plugged in & and it just sits there with a tiny led light blinking (forever). printed instructions are too small to read. what did i miss?,"make sure it is plugged into a usb3 port on the computer, not into a hub, many usb3 hubs are poor quality and will cause you to lose data, you could also use resource monitor to look at what it is doing https://www.thewindowsclub.com/use-resource-monitor-windows-10, try these first..."
Is this Compatible with ps4,I am not sure about this but here is the link to WD https://www.wd.com/products/portable-storage/wd-elements-portable.html#WDBU6Y0040BBK-WESN to look into it further.
Does it work for a ps4?,"no it does not, it is ntfs and stupid ps4 only reads fat32 or fat, so you have to reformat it to either of those, which is ridicouous becus i have an old tv that reads both ntfs and fat32"
Are there any customs fee or any other fee if shipped to Germany?,Fees ? That I don't know
Es compatible con xbox one x ?,Deberia por es compatible con play4
What is the size of the drive itself? Is it under 10mm?,"The hard drive cover can't be opened, I've tried."
Where do I find the software for a mac?,"Excellent day Allie I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive, you wanted to know where you could find the Software for the Mac computer. I will be glad to provide you with the needed support."
