,Story,Question,Answer
0,Mary moved to the bathroom . Sandra journeyed to the bedroom .,Is Sandra in the hallway ?,no
1,Mary moved to the bathroom . Sandra journeyed to the bedroom . Mary went back to the bedroom . Daniel went back to the hallway .,Is Daniel in the bathroom ?,no
2,Mary moved to the bathroom . Sandra journeyed to the bedroom . Mary went back to the bedroom . Daniel went back to the hallway . Sandra went to the kitchen . Daniel went back to the bathroom .,Is Daniel in the office ?,no
3,Mary moved to the bathroom . Sandra journeyed to the bedroom . Mary went back to the bedroom . Daniel went back to the hallway . Sandra went to the kitchen . Daniel went back to the bathroom . Daniel picked up the football there . Daniel went to the bedroom .,Is Daniel in the bedroom ?,yes
4,Mary moved to the bathroom . Sandra journeyed to the bedroom . Mary went back to the bedroom . Daniel went back to the hallway . Sandra went to the kitchen . Daniel went back to the bathroom . Daniel picked up the football there . Daniel went to the bedroom . John travelled to the office . Sandra went to the garden .,Is Daniel in the bedroom ?,yes
5,Sandra got the football there . Mary went to the bedroom .,Is Mary in the bedroom ?,yes
6,Sandra got the football there . Mary went to the bedroom . Daniel got the apple there . Sandra travelled to the hallway .,Is Sandra in the office ?,no
7,Sandra got the football there . Mary went to the bedroom . Daniel got the apple there . Sandra travelled to the hallway . Sandra moved to the garden . Mary travelled to the kitchen .,Is Sandra in the bathroom ?,no
8,Sandra got the football there . Mary went to the bedroom . Daniel got the apple there . Sandra travelled to the hallway . Sandra moved to the garden . Mary travelled to the kitchen . Sandra went back to the bedroom . Daniel put down the apple .,Is Sandra in the bathroom ?,no
9,Sandra got the football there . Mary went to the bedroom . Daniel got the apple there . Sandra travelled to the hallway . Sandra moved to the garden . Mary travelled to the kitchen . Sandra went back to the bedroom . Daniel put down the apple . Sandra put down the football . Sandra journeyed to the office .,Is Mary in the kitchen ?,yes
10,Sandra went back to the hallway . Sandra moved to the office .,Is Sandra in the office ?,yes
11,Sandra went back to the hallway . Sandra moved to the office . Mary moved to the hallway . Daniel journeyed to the garden .,Is Mary in the hallway ?,yes
